class,pred,gt
column,107,12
utensils,2,0
cell phone,51,71
cap,622,308
carriage,32,114
snout,41,3
cabinets,19,4
lemons,6,3
grill,105,185
umbrellas,27,111
meat,46,73
wagon,32,119
ipod,2,0
bookshelf,21,4
cart,308,817
roof,657,216
hay,77,105
seat,143,148
mane,33,15
bikes,34,134
drawer,35,4
game,26,137
boys,37,270
rider,42,180
fire escape,5,0
slope,1,18
pumpkin,39,43
pan,109,201
chopsticks,3,9
hill,391,299
cleat,9,2
costume,59,248
cabin,10,11
police officer,4,0
ears,86,18
egg,1,2
trash can,237,53
horn,43,16
arrow,20,8
toothbrush,84,178
carrot,11,21
banana,34,57
planes,1,4
garden,19,53
forest,23,113
dashboard,4,2
statue,241,616
saucer,5,2
people,7513,33257
silverware,3,3
fruit,92,132
drain,13,0
jet,0,5
speaker,93,7
eyes,182,81
lid,86,35
rocks,481,575
banana peel,1,9
spoon,62,50
pineapple,14,2
traffic cone,0,1
nightstand/night stand,0,1
teapot,4,6
taxi,20,44
chimney,39,0
lake,3,21
ball,2080,2650
wrist band,1,0
pad,28,9
dispenser,6,7
bridle,18,0
cones,3,28
headlight,196,12
skater,12,27
toilet paper,20,5
skyscraper,7,3
telephone,23,3
sock,691,32
paddle,39,47
dishes,3,5
hills,7,6
headlights,10,4
card,22,15
napkins,3,0
bush,329,86
rice,4,1
spokes,15,2
flowers,591,305
bucket,501,425
rock,1644,796
pole,1784,615
store,253,600
juice,9,7
knobs,2,3
ski,75,44
stands,47,97
cabinet,87,16
dirt,418,483
goats,0,5
wine glass,2,4
spectators,12,24
crate,55,56
pancakes,0,9
kids,102,545
shade,44,9
feeder,7,16
cellphone,13,9
blanket,396,561
sunglasses,1421,979
train car,6,10
magnet,12,0
donuts/doughnuts,16,34
sweater,451,423
signal,3,0
advertisement,23,7
log,121,174
vent,61,6
whiskers,7,0
arch,26,14
tent,327,463
motorbike,0,19
magnets,1,0
night,4,2
wool,1,10
vest,489,412
moustache,4,3
bib,52,32
frame,138,118
tank,26,29
icons,1,0
beams,3,0
baseball bat,1,0
can,243,88
container,224,121
flower,463,141
vehicle,47,132
tomatoes,34,23
back wheel,1,0
nostril,3,0
suv,5,5
buildings,85,127
canopy,42,13
flame,23,67
kid,25,49
baseball,100,188
belt,389,51
rainbow,0,5
lemon,4,1
tag,213,50
books,80,18
monument,4,12
men,680,3491
shadow,1520,260
bicycles,12,7
cars,64,96
lamp shade,13,0
bouquet,14,12
toothpaste,7,0
hook,2,1
switch,13,0
lamp post/lamppost,23,2
desert,3,11
knob,53,1
chairs,68,124
feathers,70,26
hole,53,10
kites,0,18
boots,230,196
baby,511,1016
biker,0,5
gate,47,25
headphones,29,37
goat,14,33
waves,101,38
bumper,24,6
logo,906,117
curtains,16,10
box,896,448
baseball cap,2,2
controller,36,39
awning,176,55
path,106,172
front legs,2,0
life jacket,4,7
purse,409,198
pigeon,80,18
toddler,8,42
beard,792,245
thumb,18,6
board,204,337
parade,0,7
robe,48,81
newspaper,158,184
wires,46,22
camera,573,575
deck,39,150
watermelon,37,3
clouds,389,70
deer,6,20
motorcyclist,0,5
kneepad,0,3
sneakers,1,0
women,331,1576
onions,3,1
eyebrow,4,0
gas station,0,5
girls,132,754
trash,47,17
knife,104,62
tags,2,0
light,1238,188
outfit,39,175
groom,6,5
frosting,2,14
forks,2,0
stuffed animal,8,16
yard,0,4
ladder,82,128
shoes,1338,515
bracelet,318,28
teeth,134,84
display case,1,0
cushion,38,19
post,281,61
tablecloth,39,96
skiers,2,10
cloud,374,27
hands,120,198
