Model started with the following parameters: 
{'mode': 0, 'dataset': 'referit', 'restore': None, 'suffix': 'feat-no-semantic-embedding-for-chunks', 'develop': True, 'device': 'cuda', 'batch_size': 64, 'num_workers': 1, 'prefetch_factor': 1, 'load_subset': None, 'load_first': False, 'load_first_img': False, 'learning_rate': 0.001, 'grad_clipping': 1, 'scheduler_gamma': 0.9, 'n_epochs': 15, 'align_loss': 'kl-sem', 'align_loss_kl_threshold': 0.5, 'regression_loss': 'iou_c-sem', 'dropout_ratio': 0.3, 'loss_weight_pred': 1, 'loss_weight_reg': 1, 'loss_weight_entities': 0.001, 'n_falsy': 3, 'n_truthy': 3, 'get_similar_positive': 'random', 'get_similar_negative': 'random', 'embeddings_text': 'glove', 'embeddings_freeze': True, 'lstm_dim': 500, 'lstm_num_layers': 1, 'fusion_dim': 2053, 'text_emb_size': 300, 'yago_emb_size': 100, 'yago_fusion_size': 300, 'yago_n_entities': 2, 'semantic_space_size': 500, 'folder_img': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/refer', 'folder_results': '/home/2/2019/lparolar/Thesis/results/referit', 'folder_data': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/preprocessed', 'folder_idx_train': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/train.txt', 'folder_idx_valid': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/val.txt', 'folder_idx_test': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/test.txt'}
Loading training dataset.
Loading validation dataset.
Loading test dataset.
------------- START MODEL TRAINING
----- Epoch: 1
Train 33/920, loss: -0.170502, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.8814, pacc: 27.0142 | ETA: 00:00:00.
Train 34/920, loss: -0.172684, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0595, pacc: 27.1847 | ETA: 00:14:46.
Train 35/920, loss: -0.173331, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0043, pacc: 27.3455 | ETA: 00:14:45.
Train 36/920, loss: -0.172592, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0929, pacc: 27.3145 | ETA: 00:00:00.
Train 37/920, loss: -0.172076, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0518, pacc: 27.2037 | ETA: 00:00:00.
Train 38/920, loss: -0.172617, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0914, pacc: 27.1780 | ETA: 00:14:42.
Train 39/920, loss: -0.172899, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0450, pacc: 27.1958 | ETA: 00:00:00.
Train 40/920, loss: -0.173487, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0801, pacc: 27.0804 | ETA: 00:00:00.
Train 41/920, loss: -0.174983, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.1216, pacc: 26.8333 | ETA: 00:00:00.
Train 42/920, loss: -0.174854, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0832, pacc: 26.8627 | ETA: 00:00:00.
Train 43/920, loss: -0.176425, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.1900, pacc: 26.8007 | ETA: 00:00:00.
Train 44/920, loss: -0.176973, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.1491, pacc: 26.5382 | ETA: 00:00:00.
Train 45/920, loss: -0.177815, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0723, pacc: 26.5135 | ETA: 00:14:35.
Train 46/920, loss: -0.178253, reg_loss: 0.000000, pred_loss: 0.000000, acc: 5.0726, pacc: 26.4529 | ETA: 00:00:00.
Train 47/920, loss: -0.178833, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.9647, pacc: 26.3866 | ETA: 00:00:00.
Train 48/920, loss: -0.178723, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.9605, pacc: 26.4982 | ETA: 00:00:00.
Train 49/920, loss: -0.179628, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.8592, pacc: 26.3924 | ETA: 00:14:31.
Train 50/920, loss: -0.179079, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.8310, pacc: 26.4852 | ETA: 00:14:30.
Train 51/920, loss: -0.179310, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.8051, pacc: 26.4819 | ETA: 00:00:00.
Train 52/920, loss: -0.179415, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.8088, pacc: 26.6136 | ETA: 00:14:28.
Train 53/920, loss: -0.178391, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.7506, pacc: 26.6971 | ETA: 00:00:00.
Train 54/920, loss: -0.178678, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.6925, pacc: 26.6208 | ETA: 00:00:00.
Train 55/920, loss: -0.179248, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.6072, pacc: 26.4945 | ETA: 00:00:00.
Train 56/920, loss: -0.179921, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.5855, pacc: 26.5964 | ETA: 00:00:00.
Train 57/920, loss: -0.180049, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.5358, pacc: 26.8070 | ETA: 00:00:00.
Train 58/920, loss: -0.180282, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.5141, pacc: 26.9101 | ETA: 00:00:00.
