Model started with the following parameters: 
{'mode': 0, 'dataset': 'referit', 'restore': None, 'suffix': 'basic-random-k-3', 'develop': True, 'device': 'cuda', 'batch_size': 64, 'num_workers': 1, 'prefetch_factor': 1, 'load_subset': None, 'load_first': False, 'load_first_img': False, 'learning_rate': 0.001, 'grad_clipping': 1, 'scheduler_gamma': 0.9, 'n_epochs': 15, 'align_loss': 'kl-sem', 'align_loss_kl_threshold': 0.5, 'regression_loss': 'iou_c-sem', 'dropout_ratio': 0.3, 'loss_weight_pred': 1, 'loss_weight_reg': 1, 'loss_weight_entities': 0.001, 'n_falsy': 3, 'n_truthy': 3, 'get_similar_positive': 'random', 'get_similar_negative': 'random', 'embeddings_text': 'glove', 'embeddings_freeze': True, 'lstm_dim': 500, 'lstm_num_layers': 1, 'fusion_dim': 2053, 'text_emb_size': 300, 'yago_emb_size': 100, 'yago_fusion_size': 300, 'yago_n_entities': 2, 'semantic_space_size': 500, 'folder_img': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/refer', 'folder_results': '/home/2/2019/lparolar/Thesis/results/referit', 'folder_data': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/preprocessed', 'folder_idx_train': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/train.txt', 'folder_idx_valid': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/val.txt', 'folder_idx_test': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/test.txt'}
Loading training dataset.
Loading validation dataset.
Loading test dataset.
------------- START MODEL TRAINING
----- Epoch: 1
Train 33/920, loss: -0.182913, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.9592, pacc: 25.6688 | ETA: 00:00:00.
Train 34/920, loss: -0.183535, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.9016, pacc: 25.4815 | ETA: 00:00:00.
Train 35/920, loss: -0.183445, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.8473, pacc: 25.4560 | ETA: 00:00:00.
Train 36/920, loss: -0.184294, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7959, pacc: 25.1587 | ETA: 00:14:44.
Train 37/920, loss: -0.184454, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.8422, pacc: 25.0477 | ETA: 00:14:43.
Train 38/920, loss: -0.184956, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7938, pacc: 25.1781 | ETA: 00:14:42.
Train 39/920, loss: -0.185679, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7478, pacc: 25.3732 | ETA: 00:00:00.
Train 40/920, loss: -0.185743, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7041, pacc: 25.5453 | ETA: 00:00:00.
Train 41/920, loss: -0.185316, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7466, pacc: 25.4269 | ETA: 00:00:00.
Train 42/920, loss: -0.185626, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7428, pacc: 25.6529 | ETA: 00:14:38.
Train 43/920, loss: -0.184782, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7431, pacc: 25.4643 | ETA: 00:00:00.
Train 44/920, loss: -0.185062, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7035, pacc: 25.4445 | ETA: 00:00:00.
Train 45/920, loss: -0.184736, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7409, pacc: 25.6323 | ETA: 00:14:35.
Train 46/920, loss: -0.184956, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.7382, pacc: 25.7413 | ETA: 00:00:00.
Train 47/920, loss: -0.185402, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.8700, pacc: 25.8353 | ETA: 00:14:33.
Train 48/920, loss: -0.185123, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.9005, pacc: 25.6790 | ETA: 00:14:32.
Train 49/920, loss: -0.185123, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.8947, pacc: 25.5828 | ETA: 00:00:00.
Train 50/920, loss: -0.186698, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.9535, pacc: 25.7809 | ETA: 00:14:30.
Train 51/920, loss: -0.186143, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.9496, pacc: 25.9633 | ETA: 00:00:00.
Train 52/920, loss: -0.185657, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0099, pacc: 25.9856 | ETA: 00:14:28.
Train 53/920, loss: -0.186016, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0349, pacc: 26.0928 | ETA: 00:14:27.
Train 54/920, loss: -0.186137, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0883, pacc: 26.1864 | ETA: 00:28:52.
Train 55/920, loss: -0.186619, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.1119, pacc: 26.2341 | ETA: 00:00:00.
Train 56/920, loss: -0.186239, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.1030, pacc: 26.0825 | ETA: 00:00:00.
Train 57/920, loss: -0.186064, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0964, pacc: 26.0484 | ETA: 00:00:00.
Train 58/920, loss: -0.186387, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0885, pacc: 25.9950 | ETA: 00:00:00.
Train 59/920, loss: -0.186521, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0800, pacc: 25.9041 | ETA: 00:14:21.
Train 60/920, loss: -0.187339, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.1512, pacc: 26.0279 | ETA: 00:00:00.
Train 61/920, loss: -0.187086, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.1447, pacc: 26.0327 | ETA: 00:14:19.
Train 62/920, loss: -0.186943, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.1365, pacc: 26.1680 | ETA: 00:14:18.
Train 63/920, loss: -0.187538, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.1555, pacc: 26.2818 | ETA: 00:00:00.
Train 64/920, loss: -0.187281, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.1748, pacc: 26.2948 | ETA: 00:14:16.
Train 65/920, loss: -0.188342, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2390, pacc: 26.2810 | ETA: 00:00:00.
Train 66/920, loss: -0.188554, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2295, pacc: 26.2738 | ETA: 00:28:28.
Train 67/920, loss: -0.188429, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2709, pacc: 26.4041 | ETA: 00:00:00.
Train 68/920, loss: -0.188716, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2857, pacc: 26.4256 | ETA: 00:14:12.
Train 69/920, loss: -0.189737, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.3239, pacc: 26.4228 | ETA: 00:00:00.
Train 70/920, loss: -0.189612, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2907, pacc: 26.5215 | ETA: 00:14:10.
